formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group,crystal
TiSnO4,mp-773864,"[[0.0, 0.0, 0.0, 0.0, 2.375, 0.0], [0.0, 0.0, 0.0, -2.375, 0.0, 0.0], [-0.188, 0.188, 0.0, 0.0, 0.0, 0.0]]",2.375385,1996,0,Orthorhombic,mm2,Orthorhombic mm2
SrBe3O4,mp-27791,"[[-0.352, 0.352, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.352], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.498312270516414,1997,0,Orthorhombic,mm2,Orthorhombic mm2
Te7As5I,mp-541032,"[[-0.202, -0.122, -0.29, 0.0, -0.224, 0.0], [0.0, 0.0, 0.0, -0.172, 0.0, -0.075], [-0.007, 0.38, 0.059, 0.0, -0.577, 0.0]]",0.70428437043772,1998,0,Trigonal,3m,Trigonal 3m
Cu2HgGeS4,mp-10952,"[[0.0, 0.0, 0.0, -0.358, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.358, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.129]]",0.358355,1999,0,Orthorhombic,mm2,Orthorhombic mm2
BiIrSe,mp-1103228,"[[0.0, 0.0, 0.0, -0.158, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.158, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.158]]",0.15768,2000,0,Orthorhombic,222,Orthorhombic 222
Ca(SmS2)2,mp-36100,"[[0.0, 0.0, 0.0, -0.367, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.367, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.352]]",0.36677,2001,0,Hexagonal,6mm,Hexagonal 6mm
Li2CrFeO4,mp-754901,"[[0.0, 0.0, 0.0, 0.0, -0.098, 0.0], [0.0, 0.0, 0.0, 0.098, 0.0, 0.0], [-0.683, 0.683, 0.0, 0.0, 0.0, 0.0]]",0.965434101557429,2002,0,Trigonal,3m,Trigonal 3m
Na2PO3F,mp-12159,"[[0.0, 0.0, 0.0, 0.024, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.031, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.071]]",0.0713,2003,0,Triclinic,1,Triclinic 1
Ag6Mo2ClO7F3,mp-553919,"[[0.0, 0.0, 0.0, 0.0, 0.095, -0.038], [-0.038, 0.038, 0.0, 0.095, 0.0, 0.0], [-0.1, -0.1, 0.142, 0.0, 0.0, 0.0]]",0.200595226513494,2004,0,Monoclinic,m,Monoclinic m
MoSe2,mp-1023934,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.215], [0.215, -0.215, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.303564458235379,2005,0,Orthorhombic,222,Orthorhombic 222
