formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group
SrB4O7,mp-5540,"[[0.0, 0.0, 0.0, 0.0, -0.106, 0.0], [0.0, 0.0, 0.0, -0.389, 0.0, 0.0], [-0.665, -0.756, -0.026, 0.0, 0.0, 0.0]]",1.0074298637622372,1928,0,Trigonal,3m
YSbPt,mp-4964,"[[0.0, 0.0, 0.0, -1.702, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -1.702, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -1.702]]",1.7019972502541232,1929,0,Tetragonal,-42m
SiO2,mp-6922,"[[0.0, 0.0, 0.0, -0.148, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.148, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.14815499999999998,1930,0,Orthorhombic,222
Ca2Al2SiO7,mp-559691,"[[0.0, 0.0, 0.0, 0.053, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.385, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.385]]",0.385115,1931,0,Tetragonal,-42m
CsTb(PO3)4,mp-17128,"[[0.0, 0.0, 0.0, 0.093, 0.0, -0.054], [-0.106, 0.056, 0.048, 0.0, 0.062, 0.0], [0.0, 0.0, 0.0, 0.157, 0.0, -0.012]]",0.18673194140959687,1932,0,Orthorhombic,mm2
Li5Mn5O9F,mp-753735,"[[0.127, -0.103, 0.334, 0.096, 0.287, -0.108], [0.11, -0.009, 0.05, 0.068, 0.219, -0.094], [0.328, 0.087, 0.168, 0.044, 0.261, 0.204]]",0.6675821523622866,1933,0,Tetragonal,-42m
LiBiP2O7,mp-759568,"[[0.0, 0.0, 0.0, 0.656, 0.0, -0.551], [-1.508, -0.822, -1.462, 0.0, 0.711, 0.0], [0.0, 0.0, 0.0, -0.233, 0.0, -0.025]]",2.3644879406165917,1934,0,Cubic,23
Cs3W2N5,mp-1119092,"[[-0.14, 0.124, 0.124, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.248, 0.087], [0.0, 0.0, 0.0, 0.0, 0.087, 0.248]]",0.2633156460410205,1935,0,Orthorhombic,222
Li4Si2NiO7,mp-753715,"[[-0.163, 0.079, -0.194, -0.21, -0.008, -0.04], [-0.019, -0.136, -0.043, -0.037, -0.38, 0.113], [0.005, -0.033, -0.03, -0.061, -0.263, -0.267]]",0.49577954380854294,1936,0,Trigonal,32
TmNiBi,mp-568269,"[[0.0, 0.0, 0.0, 0.288, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.288, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.288]]",0.2880433333333328,1937,0,Triclinic,1
